0|None|0|Status|???|-|0|0%|This move does not exist.|0|0|This move probably won't go over too well in contest.
1|Pound|0|Physical|Tough|35|40|100%|Pounds with forelegs or tail.|4|0|A highly appealing move.
2|Karate Chop|6|Physical|Tough|25|50|100%|Crit with 15 or higher on status die|3|0|Earn +3 if no other Pokémon has chosen the same Judge. +2 points if focus energy was used in the previous round.
3|Double Slap|0|Physical|Cute|10|15|85%|Slaps the foe 2-5 times consecutively (each slap counts as a separate attack). Must roll 11 or higher on the status die beginning with the 3rd attack to keep the move going.|2|1|Minus 1 point from leading pokemon
4|Comet Punch|0|Physical|Tough|15|18|85%|Repeatedly punches 2-5 times (each attack counts as a separate attack). Must roll 11 or higher on the status die starting with the 3rd attack to keep the move going.|2|0|Allows performance of the same move twice in a row.
5|Mega Punch|0|Physical|Tough|20|80|85%|A powerful punch thrown very hard.|4|0|A high appealing move.
6|Pay Day|0|Physical|Smart|20|40|100%|Every time used, get +50P at end of battle|1|0|Earn +3 if the Pokémon gets the lowest score.
7|Fire Punch|1|Physical|Tough|15|75|100%|Burns target if 19 or 20 is rolled on status die|4|0|A highly appealing move. +4 points if Ice Punch, Thunder Punch, or Sunny day was used in the previous round
8|Ice Punch|5|Physical|Beautiful|15|75|100%|Freezes target if 19 or 20 is rolled on status die|4|0|A highly appealing move.
9|Thunder Punch|3|Physical|Cool|15|75|100%|Paralyzes target if 19 or 20 is rolled on status die|4|0|A highly appealing move.
10|Scratch|0|Physical|Tough|35|40|100%|Scratches with sharp claws.|4|0|A highly appealing move. +4 points if leer was used in the previous round.
11|Vice Grip|0|Physical|Tough|30|55|100%|Grips with powerful pincers.|4|0|A highly appealing move.
12|Guillotine|0|Physical|Cool|5|-|30%|if it hits, one hit K0|2|1|-1 to all Pokémon who scored 3 points or more this round. +2 points if vice grip was used in the previous round
13|Razor Wind|0|Special|Cool|10|80|100%|1st turn prepare, 2nd turn attack|3|0|Earn +3 if no other Pokémon has chosen the same Judge.
14|Swords Dance|0|Status|Beautiful|30|-|-|Increases user's ATK by 40 points for remainder of battle or until the pokemon switches out (whichever comes first)|1|0|Blocks all point loss for the remainder of the round
15|Cut|0|Physical|Cool|30|50|95%|Cuts using claws, scythes, etc.|2|1|-1 to all other pokemon who scored 3 points or more this round. +2 points if swords dance was used in the previous round.
16|Gust|9|Special|Smart|35|40|100%|Can hit pokemon using fly and bounce|3|0|Scrambles turn order next turn
17|Wing Attack|9|Physical|Cool|35|60|100%|Strikes the target with wings.|2|0|4 points instead if appeal before was also type "cool"
18|Whirlwind|0|Status|Smart|20|-|100%|if wild pokemon, battle ends. If trainer, trainer rolls and switches to random party member|3|0|Scrambles turn order next turn
19|Fly|9|Physical|Smart|15|90|95%|First turn fly up high (immune to most damage), Second turn attack (can be hit if lock-on, mind-reader, sandstorm, hail, etc. were used in the previous turn.) Can be hit by gust, twister, thunder, and sky uppercut between 1st and 2nd turns.|1|0|Cannot lose points for the remainder of the turn
20|Bind|0|Physical|Tough|20|15|75%|1st turn counts as pokemon's move for that turn, subsequent turns does not. Continues attacking as long as it hits. (up to turn 5)|3|0|Earn a higher score the later the Pokémon performs. +3 points if vice grip was used in the previous round.
21|Slam|0|Physical|Tough|20|80|75%|Slams the foe with a tail, vine, etc.|2|1|-1 points to all pokemon who used "tough" moves this turn. +2 points if pound was used during the previous round
22|Vine Whip|4|Physical|Cool|15|35|100%|Whips the foe with slender vines.|4|0|A highly appealing move. +4 points if growth was used in the previous round.
23|Stomp|0|Physical|Tough|20|65|100%|roll 14 or higher on status die to make pokemon flinch|1|4|-4 points to the pokemon in the lead. +1 points if leer was used in the previous round.
24|Double Kick|6|Physical|Cool|30|30|100%|Roll 2 attacks, counts as 2 separate attacks|2|0|+2 points if the pokemon before you used a "cool" move
25|Mega Kick|0|Physical|Cool|5|120|75%|A powerful kicking attack.|4|0|A highly appealing move.
26|Jump Kick|6|Physical|Cool|25|85|95%|if this attack misses, user takes the damage|6|0|if you would lose points this turn, you lose twice as many instead
27|Rolling Kick|6|Physical|Cool|15|60|85%|roll 14 or higher on status die to make target flinch.|1|3|-3 points to all pokemon who have made appeals this turn
28|Sand Attack|8|Status|Cute|15|-|100%|Reduces the accuracy of opposing pokemon's moves by 10% for the remainder of the battle or until the pokemon switches out (whichever comes first)|2|1|-1 points to pokemon currently in first place. +2 points if mud-slap or sandstorm were used in the previous round.
29|Headbutt|0|Physical|Tough|15|70|100%|Roll 14 or higher on status die to make target flinch|2|3|-3 points to the pokemon who appealed immediately before you
30|Horn Attack|0|Physical|Cool|25|65|100%|An attack using a horn to jab.|4|0|A highly appealing move. +4 points if leer was used in the previous round.
31|Fury Attack|0|Physical|Cool|20|15|85%|Attacks 2-5 times consecutively (these count as separate attacks). Must roll 11 or higher on the status die after the 2nd hit to keep the move going.|2|1|-1 points to the pokemon in first place. +2 points if horn attack or peck were used in the previous round.
32|Horn Drill|0|Physical|Cool|5|-|30%|one hit KO if it hits|2|1|-1 points to all pokemon who scored 3 points or more this round. +2 points if horn attack was used in the previous round.
33|Tackle|0|Physical|Tough|35|35|95%|A full-body charge attack. |4|0|A highly appealing move. +4 points if defense curl, harden, or leer were used in the previous round.
34|Body Slam|0|Physical|Tough|15|85|100%|paralyzes opposing pokemon if 17 or higher is rolled on status die.|1|4|-4 points to the pokemon in first place
35|Wrap|0|Physical|Tough|20|15|85%|attack continues for up to 5 turns, opposing pokemon cannot move during attack|3|0|+3 points if 4th place, +2 points if 3rd place, +2 points if 2nd place
36|Take Down|0|Physical|Tough|20|90|85%|take 1/4 of damage given on self|6|0|for the rest of the round, if pokemon would lose points; lose 2x that many instead. +6 points if focus energy or harden were usde in the previous turn.
37|Thrash|0|Physical|Tough|20|90|100%|move lasts for 2-3 turns. roll 10 or higher on status die to continue to 3rd turn. Pokemon which used this becomes confused after turn ends|4|4|-4 points to every opposing pokemon, skip next round. +4 points if rage was used in the previous turn.
38|Double-Edge|0|Physical|Tough|15|120|100%|take 1/4 of damage given on self|6|0|for the rest of the round, if pokemon would lose points they lose 2x as many instead. +6 points if focus energy or harden were used in the previous round.
39|Tail Whip|0|Status|Cute|30|-|100%|Lowers opposing pokemon's DEF by 20 points for remainder of battle|2|0|+4 points if user appeals last. +2 points if charm was used in the previous round.
40|Poison Sting|7|Physical|Smart|35|15|100%|Roll 17 or higher on status die to inflict poison|2|3|-3 to pokemon who appealed immediately before you.
41|Twineedle|11|Physical|Cool|20|25|100%|roll 2 attacks, these count as separate attacks, for each attack roll 17 or higher on status die to poison|2|3|-3 points to pokemon who appealed immediately before you.
42|Pin Missile|11|Physical|Cool|20|14|85%|Attacks 2-5 times in a row (each counts as a separate attack.) Must roll 11 or higher on status die after the 2nd attack to keep the move going.|2|1|-1 point to pokemon in first place.
43|Leer|0|Status|Cool|30|-|100%|Lowers opposing pokemon's DEF by 20 points for the remainder of the battle|3|0|cannot lose points for the rest of the round. +3 points if rage or scary face were used in the previous round.
44|Bite|15|Physical|Tough|25|60|100%|Roll 14 or higher on status die to make opposing pokemon flinch|1|3|-3 points to all pokemon who appealed before you. +1 points if leer or scary face were used in the previous round.
45|Growl|0|Status|Cute|40|-|100%|-Lowers opposing pokemons ATK by 20 points for the remainder of the battle|2|0|+4 points if used in last place. +2 points if charm was used in the previous round.
46|Roar|0|Status|Cool|20|-|100%|if wild pokemon, battle ends. if trainer, trainer rolls to see which pokemon comes out.|3|0|everyone rolls for turn order on the next round
47|Sing|0|Status|Cute|15|-|55%|if it hits, puts the target to sleep|2|0|for all pokemon above the user: if that pokemon would lose points this round, they lose 2x as many instead.
48|Supersonic|0|Status|Smart|20|-|55%|if it hits, confuses the target|3|0|everyone rolls for turn order on next round.
49|Sonic Boom|0|Special|Cool|20|*|90%|always deals 20HP of damage|2|0|+2 points if the opposing pokemon before you also used a "cool" move.
50|Disable|0|Status|Smart|20|-|80%|disables the foe's most recent move, lasts 4 turns|2|0|for all pokemon appealing after this: if that pokemon would lose points, they lose 2x as many instead
51|Acid|7|Special|Smart|30|40|100%|lowers opposing pokemon's DEF by 20 points if you roll a 14 or higher on the status die|1|4|-4 points to the pokemon in the lead
52|Ember|1|Special|Cute|25|40|100%|Burn the opposing pokemon if you roll an 18 or higher on the status die|4|0|A highly appealing move. +4 points if the move sunny day was used in the previous round.
53|Flamethrower|1|Special|Beautiful|15|95|100%|Burn the opposing pokemon if you roll an 18 or higher on the status die|4|0|A highly appealing move. +4 points if the move sunny day was used in the previous round.
54|Mist|5|Status|Beautiful|30|-|-|stats cannot be lowered for either the remainder of the battle or until the pokemon switches out (whichever comes first)|1|0|Cannot lose points for the remainder of the round
55|Water Gun|2|Special|Cute|25|40|100%|Squirts water to attack.|4|0|A highly appealing move. +4 points if mud sport, rain dance, or water sport were used in the previous round.
56|Hydro Pump|2|Special|Beautiful|5|120|80%|A powerful water-type attack.|4|0|A highly appealing move. +4 points if rain dance was used in the previous round.
57|Surf|2|Special|Beautiful|15|95|100%|A strong water-type attack|3|0|+2 if the pokemon who appeals before this gets 3 or more points. +3 points if dive was used in the previous round.
58|Ice Beam|5|Special|Beautiful|10|95|100%|freeze the opposing pokemon if you roll an 18 or higher on the status die|2|1|-1 point to all pokemon who performed a "beautiful" move this turn. +2 points if hail was used in the previous turn.
59|Blizzard|5|Special|Beautiful|5|120|70%|freeze the opposing pokemon if you roll an 18 or higher on the status die|4|0|A highly appealing move. +4 points if either hail or powder snow were used in the previous round.
60|Psybeam|10|Special|Beautiful|20|65|100%|confuse the opposing pokemon if you roll 18 or higher on the status die|3|0|everyone must roll for turn order next round. +3 points if calm mind was used in the previous round.
61|Bubble Beam|2|Special|Beautiful|20|65|100%|Decreases opposing pokemon's SPD by 20 points if you roll an 18 or higher on the status die|1|3|-3 points to all pokemon who have appealed this round. +1 points if rain dance was used in the previous round.
62|Aurora Beam|5|Special|Beautiful|20|65|100%|Lowers opposing pokemons ATK by 20 points if you roll an 18 or higher on the status die|2|1|-1 points to all pokemon who made a "beautiful" appeal this round. +2 points if hail was used in the previous round.
